folder;filename;addresses count;phone count
C:\Learning\apachetikaexample\tikatest1\libreoffice_calc_xls-import_300-worksheets.xls.256.csv;1;0
C:\Learning\apachetikaexample\tikatest1\New Text Document.txt;2;0
C:\Learning\apachetikaexample\tikatest1\jxls-src_departmentdata.xls.0.csv;1;8
